Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 20.86367241006416 10.024511570903323 69.11181601903252
Aug 01 3053 20.76645922043891 11.857189649525058 67.37635113003603
Aug 02 2921 20.575145498117084 11.160561451557685 68.26429305032524
Aug 03 1360 20.073529411764707 9.558823529411764 70.36764705882354
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 22.54160363086233 9.001512859304086 68.45688350983359
Aug 07 2937 22.57405515832482 10.010214504596528 67.41573033707866
Aug 08 584 19.17808219178082 5.136986301369863 75.68493150684932
Aug 09 4230 19.739952718676122 8.203309692671395 72.05673758865248
Aug 10 4069 21.28287048414844 9.95330548046203 68.76382403538953
Aug 11 3040 21.34868421052632 9.013157894736842 69.63815789473684
Aug 12 3606 21.630615640599 10.316139767054908 68.05324459234609
Aug 13 2364 21.40439932318105 8.671742808798646 69.9238578680203
