Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 15.274618134546635 7.377315567110822 77.34806629834254
Jan 15 9439 14.440088992478017 8.041106049369636 77.51880495815234
Jan 16 7419 13.708046906591184 7.750370669901605 78.54158242350721
Jan 17 7861 14.438366620022897 7.619895687571556 77.94173769240554
Jan 18 12190 12.14109926168991 9.499589827727647 78.35931091058245
Jan 19 9070 12.579933847850056 8.202866593164277 79.21719955898567
Jan 20 6640 13.072289156626507 7.906626506024097 79.02108433734941
Jan 21 7209 12.720210847551671 7.795810792065473 79.48397836038285
Jan 22 7298 12.003288572211565 7.0704302548643465 80.92628117292409
Jan 23 8055 12.38981998758535 7.23774053382992 80.37243947858474
Jan 24 7336 13.495092693565978 7.756270447110142 78.74863685932388
Jan 25 7451 13.662595624748356 6.884981881626627 79.45242249362502
Jan 26 7329 14.299358711966162 7.790967389821259 77.90967389821259
Jan 27 7089 14.035830159401891 7.687967273240232 78.27620256735787
Jan 28 7446 14.450711791565944 8.648939027665861 76.9003491807682
Jan 29 7371 13.281779948446616 8.547008547008547 78.17121150454483
Jan 30 9525 12.36745406824147 8.503937007874015 79.12860892388451
Jan 31 9732 12.433210028771065 8.744348540896013 78.82244143033293
Feb 01 7837 15.044021947173663 8.293990047211944 76.66198800561439
Feb 02 6997 15.235100757467487 8.04630555952551 76.71859368300701
Feb 03 6594 14.361540794661815 7.32484076433121 78.31361844100697
Feb 04 7292 13.21996708721887 7.158529895776193 79.62150301700494
Feb 05 7656 13.244514106583072 7.131661442006269 79.62382445141067
Feb 06 8413 14.548912397480091 7.191251634375371 78.25983596814454
Feb 07 8357 13.09082206533445 8.44800765825057 78.46117027641498
Feb 08 7770 13.835263835263836 7.953667953667953 78.21106821106821
Feb 09 6979 13.669580169078666 7.336294598079954 78.99412523284138
Feb 10 6032 13.561007957559681 7.427055702917771 79.01193633952255
Feb 11 7070 12.8995756718529 7.8500707213578504 79.25035360678925
Feb 12 6882 13.658820110433014 7.802964254577158 78.53821563498983
Feb 13 7838 14.110742536361318 7.655014034192396 78.23424342944628
Feb 14 13653 17.988720427744816 6.819014136087306 75.19226543616787
Feb 15 8307 15.468881666064766 7.776573973757072 76.75454436017817
Feb 16 8669 14.038528088591534 8.455415849578959 77.50605606182951
Feb 17 6761 14.3174086673569 8.430705516935365 77.25188581570774
Feb 18 5920 13.614864864864865 8.412162162162161 77.97297297297298
Feb 19 6424 13.792029887920298 8.297011207970112 77.91095890410958
