Dates Closing_Price
2019-01-14 2582.610107
2019-01-15 2610.300049
2019-01-16 2616.100098
2019-01-17 2635.959961
2019-01-18 2670.709961
2019-01-19 -1.0
2019-01-20 -1.0
2019-01-21 -1.0
2019-01-22 2632.899902
2019-01-23 2638.699951
2019-01-24 2642.330078
2019-01-25 2664.76001
2019-01-26 -1.0
2019-01-27 -1.0
2019-01-28 2643.850098
2019-01-29 2640
2019-01-30 2681.050049
2019-01-31 2704.100098
2019-02-01 2706.530029
2019-02-02 -1.0
2019-02-03 -1.0
2019-02-04 2724.870117
2019-02-05 2737.699951
2019-02-06 2731.610107
2019-02-07 2706.050049
2019-02-08 2707.879883
2019-02-09 -1.0
2019-02-10 -1.0
2019-02-11 2709.800049
2019-02-12 2744.72998
2019-02-13 2753.030029
2019-02-14 2745.72998
2019-02-15 2775.600098
2019-02-16 -1.0
2019-02-17 -1.0
2019-02-18 -1.0
2019-02-19 2779.76001
