Dates Closing_Price
2019-01-14 334.399994
2019-01-15 344.429993
2019-01-16 346.049988
2019-01-17 347.309998
2019-01-18 302.26001
2019-01-19 -1.0
2019-01-20 -1.0
2019-01-21 -1.0
2019-01-22 298.920013
2019-01-23 287.589996
2019-01-24 291.51001
2019-01-25 297.040009
2019-01-26 -1.0
2019-01-27 -1.0
2019-01-28 296.380005
2019-01-29 297.459991
2019-01-30 308.769989
2019-01-31 307.019989
2019-02-01 312.209991
2019-02-02 -1.0
2019-02-03 -1.0
2019-02-04 312.890015
2019-02-05 321.350006
2019-02-06 317.220001
2019-02-07 307.51001
2019-02-08 305.799988
2019-02-09 -1.0
2019-02-10 -1.0
2019-02-11 312.839996
2019-02-12 311.809998
2019-02-13 308.170013
2019-02-14 303.769989
2019-02-15 307.880005
2019-02-16 -1.0
2019-02-17 -1.0
2019-02-18 -1.0
2019-02-19 305.640015
