Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-10-01;2.929,5;2.936,25;2.923;2.923,75;;
2018-09-28;2.914,5;2.919,5;2.902,25;2.912,75;;
2018-09-27;2.908,5;2.926;2.902;2.918;;
2018-09-26;2.918,25;2.924;2.902,25;2.906;;
2018-09-25;2.919,5;2.928,75;2.913;2.917;;
2018-09-24;2.919,25;2.923,75;2.912,75;2.919,25;;
2018-09-23;2.925;2.925;2.925;2.925;;
2018-09-22;2.925;2.925;2.925;2.925;;
2018-09-21;2.934,5;2.939,5;2.924,75;2.925;;
2018-09-20;2.909,25;2.933,25;2.906,25;2.931,25;;
2018-09-19;2.905,25;2.911;2.898,5;2.906,25;;
2018-09-18;2.880,5;2.909,5;2.879,25;2.907,5;;
2018-09-17;2.898,75;2.905,75;2.886;2.888;;
2018-09-14;2.904,75;2.911,75;2.896,25;2.905,5;;
2018-09-13;2.889,5;2.906,25;2.884,25;2.902,5;;
2018-09-12;2.888,75;2.895,25;2.879,75;2.887,25;;
2018-09-11;2.882,75;2.892,75;2.867,5;2.890;;
2018-09-10;2.876,5;2.887;2.876;2.881;;
2018-09-08;2.872,25;2.872,25;2.872,25;2.872,25;;
2018-09-07;2.871;2.883,75;2.864,25;2.872,25;;
2018-09-06;2.886,75;2.891,5;2.867,25;2.877,5;;
2018-09-05;2.895,75;2.900,25;2.877,75;2.890;;
2018-09-04;2.904,75;2.911,75;2.885,5;2.898,5;;
2018-09-03;2.904;2.912,25;2.902,25;2.907,5;;
2018-08-31;2.898,75;2.906,25;2.891;2.893,25;;
2018-08-30;2.914;2.914,5;2.898;2.898,25;;
2018-08-29;2.902,25;2.917;2.897,75;2.915;;
2018-08-28;2.902;2.905,25;2.894;2.899;;
2018-08-27;2.882;2.898,75;2.881;2.898,5;;
2018-08-25;2.876,25;2.876,25;2.876,25;2.876,25;;
2018-08-24;2.857;2.877;2.857;2.876,25;;
2018-08-23;2.861;2.868,75;2.854,25;2.855,75;;
2018-08-22;2.848,25;2.867,5;2.847,75;2.861,25;;
2018-08-21;2.855;2.873,25;2.851,5;2.854,25;;
2018-08-20;2.852,25;2.859,75;2.849;2.856,25;;
2018-08-17;2.841,25;2.852,5;2.834,5;2.852,25;;
2018-08-16;2.820,75;2.850,5;2.818;2.842,75;;
2018-08-15;2.841;2.841,5;2.802,5;2.822;;
2018-08-14;2.828,5;2.843,25;2.826,5;2.841,75;;
2018-08-13;2.828,5;2.843,5;2.819,75;2.826;;
2018-08-10;2.849,25;2.851,25;2.828,25;2.830;;
2018-08-09;2.854,5;2.862,5;2.850,25;2.852;;
2018-08-08;2.860,5;2.862,75;2.853,25;2.853,5;;
2018-08-07;2.850,25;2.863,75;2.849,75;2.860,75;;
2018-08-06;2.841;2.853,25;2.835,25;2.849,5;;
2018-08-03;2.829,5;2.841,5;2.825;2.841,25;;
2018-08-02;2.814,5;2.831,25;2.791,25;2.830,5;;
2018-08-01;2.817,75;2.825,25;2.808;2.815,25;;
2018-07-31;2.805;2.827,25;2.804;2.825,75;;
2018-07-30;2.811;2.821,5;2.798,5;2.801,25;;
2018-07-28;2.817;2.817;2.817;2.817;;
2018-07-27;2.841,75;2.846,5;2.808,5;2.817;;
2018-07-26;2.836,75;2.845,5;2.832,5;2.839;;
2018-07-25;2.815;2.835;2.813,25;2.833;;
2018-07-24;2.813,75;2.830,25;2.811;2.818;;
2018-07-23;2.800,5;2.808,5;2.791,5;2.807,5;;
2018-07-20;2.807,75;2.809;2.792;2.801,75;;
2018-07-19;2.814,75;2.816,5;2.800,25;2.803,5;;
2018-07-18;2.813,25;2.816,5;2.805,75;2.813,75;;
2018-07-17;2.796,75;2.812,5;2.788,25;2.811;;
2018-07-16;2.805,25;2.806,5;2.793,25;2.794,5;;
2018-07-14;2.801,75;2.801,75;2.801,75;2.801,75;;
