Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 2958 21.7376605815 47.7349560514 30.5273833671
Aug 03 1371 22.2465353756 44.2013129103 33.5521517141
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2658 25.2069224981 43.942814146 30.8502633559
Aug 07 2956 22.4627875507 47.0230040595 30.5142083897
Aug 08 587 21.9761499148 43.6115843271 34.4122657581
Aug 09 4247 23.1457499411 44.7139157052 32.1403343537
Aug 10 4091 22.7083842581 46.0767538499 31.214861892
Aug 11 3062 23.0894839974 46.2769431744 30.6335728282
Aug 12 3624 23.7030905077 44.8399558499 31.4569536424
Aug 13 2374 24.0101095198 44.3555181129 31.6343723673
