Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 1559 28.4797947402 21.6805644644 49.8396407954
Aug 03 950 31.5789473684 21.6842105263 46.7368421053
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 1627 29.6865396435 19.114935464 51.1985248924
Aug 07 1418 29.0550070522 19.9576868829 50.9873060649
Aug 08 500 28.8 18.8 52.4
Aug 09 1995 32.1804511278 21.5037593985 46.3157894737
Aug 10 1763 33.3522404991 22.688598979 43.9591605218
Aug 11 1544 31.6062176166 20.9196891192 47.4740932642
Aug 12 1951 30.5484366991 20.1435161456 49.3080471553
Aug 13 1355 31.5867158672 18.7453874539 49.667896679
