Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 2958 21.8052738337 47.7011494253 30.493576741
Aug 03 1371 22.3924142961 44.0554339898 33.5521517141
Aug 04 -1.0 22.3924142961 44.0554339898 33.5521517141
Aug 05 -1.0 22.3924142961 44.0554339898 33.5521517141
Aug 06 2658 25.094055681 43.942814146 30.9631301731
Aug 07 2956 22.4966170501 47.0230040595 30.4803788904
Aug 08 587 21.2947189097 43.2708688245 35.4344122658
Aug 09 4247 23.0515658112 44.6903696727 32.2580645161
Aug 10 4091 22.6106086531 45.9545343437 31.4348570032
Aug 11 3062 23.2201175702 46.1463096016 30.6335728282
Aug 12 3624 23.6479028698 44.8123620309 31.5397350993
Aug 13 2373 23.9359460598 44.4584913611 31.605562579
