Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 893 32.0268756999 28.4434490482 39.529675252
Aug 03 671 31.7436661699 29.2101341282 39.0461997019
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 783 35.632183908 26.4367816092 37.9310344828
Aug 07 653 34.1500765697 26.1868300153 39.663093415
Aug 08 228 36.4035087719 22.8070175439 40.7894736842
Aug 09 969 37.3581011352 23.8390092879 38.8028895769
Aug 10 962 32.6403326403 27.027027027 40.3326403326
Aug 11 914 36.3238512035 25.0547045952 38.6214442013
Aug 12 1052 35.6463878327 23.5741444867 40.7794676806
Aug 13 683 39.0922401171 25.7686676428 35.1390922401
