Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 795 35.2201257862 25.534591195 39.2452830189
Aug 03 491 39.9185336049 23.8289205703 36.2525458248
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 766 36.684073107 26.7624020888 36.5535248042
Aug 07 589 34.80475382 25.1273344652 40.0679117148
Aug 08 191 39.2670157068 25.1308900524 35.6020942408
Aug 09 919 35.4733405876 27.965179543 36.5614798694
Aug 10 992 35.5846774194 24.2943548387 40.1209677419
Aug 11 1002 30.2395209581 35.0299401198 34.7305389222
Aug 12 1376 34.5930232558 34.5203488372 30.886627907
Aug 13 667 37.1814092954 29.8350824588 32.9835082459
