Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 5774 25.6841011431 40.9941115345 33.3217873225
Aug 03 1468 26.7029972752 38.7602179837 34.5367847411
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2061 28.2387190684 34.1581756429 37.6031052887
Aug 07 11249 23.1753933683 36.9632856254 39.8613210063
Aug 08 1415 24.0989399293 33.6395759717 42.2614840989
Aug 09 4462 25.1232631107 34.9394890184 39.9372478709
Aug 10 4786 26.0342666109 34.1412452988 39.8244880903
Aug 11 4342 27.3836941502 32.8420082911 39.7742975587
Aug 12 4381 26.9801415202 35.8593928327 37.1604656471
Aug 13 4212 24.6676163343 36.9895536562 38.3428300095
