Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
Aug 02 1233 38.3617193836 15.9772911598 45.6609894566
Aug 03 677 37.3707533235 13.7370753323 48.8921713442
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 1105 39.9095022624 21.7194570136 38.371040724
Aug 07 919 43.5255712731 13.8193688792 42.6550598477
Aug 08 250 46.4 16.8 36.8
Aug 09 1426 40.6732117812 11.8513323983 47.4754558205
Aug 10 1452 43.044077135 15.8402203857 41.1157024793
Aug 11 1271 41.3060582219 15.8143194335 42.8796223446
Aug 12 1298 43.6055469954 15.9476117103 40.4468412943
Aug 13 977 37.1545547595 20.1637666325 42.681678608
