Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-10-01;77,94;78,70;77,40;78,14;1.561.578;122.195.480
2018-09-28;78,42;78,51;77,32;77,71;2.785.236;216.635.296
2018-09-27;78,40;79,16;77,99;79,00;2.021.708;159.075.104
2018-09-26;78,22;79,03;76,67;79,03;3.453.388;269.836.480
2018-09-25;83,40;83,73;78,51;79,00;6.446.086;515.814.464
2018-09-24;85,34;85,40;83,40;83,50;2.303.604;193.425.504
2018-09-21;86,13;86,74;85,26;85,77;4.350.959;373.817.568
2018-09-20;83,17;85,48;83,17;85,32;2.570.524;218.408.992
2018-09-19;82,67;83,82;82,56;83,54;1.555.040;129.573.288
2018-09-18;82,87;83,81;82,26;82,67;1.957.614;162.239.552
2018-09-17;82,29;83,05;81,52;82,54;1.555.965;128.317.888
2018-09-14;83,00;83,25;82,42;82,93;1.395.628;115.642.144
2018-09-13;81,35;83,35;81,35;82,47;1.880.341;155.366.272
2018-09-12;80,90;81,45;80,37;81,32;1.346.307;109.076.840
2018-09-11;81,38;81,38;80,18;80,76;1.081.649;87.295.768
2018-09-10;81,00;81,50;80,53;81,10;1.015.191;82.368.952
2018-09-07;80,74;81,19;80,46;81,07;1.155.513;93.517.064
2018-09-06;81,10;81,84;80,43;80,73;1.737.455;140.759.616
2018-09-05;81,70;82,11;81,03;81,25;1.615.229;131.626.328
2018-09-04;83,05;83,05;81,44;81,88;1.574.985;129.176.144
2018-09-03;82,95;83,00;82,15;82,79;1.146.980;94.799.280
2018-08-31;83,66;83,98;83,21;83,41;1.853.265;154.784.576
2018-08-30;84,18;85,75;83,17;84,60;1.848.549;156.407.936
2018-08-29;84,72;84,79;83,52;84,23;1.050.776;88.381.056
2018-08-28;83,64;85,22;83,52;84,39;1.976.748;167.235.424
2018-08-27;82,10;83,33;82,00;83,19;1.772.323;147.017.920
2018-08-24;81,09;81,58;80,76;81,29;1.009.129;81.929.056
2018-08-23;82,07;82,22;80,92;81,08;1.647.901;133.841.960
2018-08-22;82,78;83,66;81,18;82,29;2.081.932;171.371.504
2018-08-21;82,04;83,15;81,56;82,93;1.871.873;154.787.376
2018-08-20;81,71;82,45;81,33;81,75;1.128.134;92.384.424
2018-08-17;81,64;81,78;80,46;81,41;1.415.425;114.924.184
2018-08-16;81,90;82,15;81,30;81,80;1.272.228;104.063.792
2018-08-15;82,76;83,15;80,79;81,31;1.855.102;151.177.936
2018-08-14;83,51;83,75;81,92;82,45;1.377.277;113.735.944
2018-08-13;83,80;84,02;83,28;83,29;1.204.817;100.618.456
2018-08-10;85,00;85,00;82,90;83,58;2.074.116;173.346.112
2018-08-09;84,19;85,42;84,08;84,81;1.393.277;118.133.480
2018-08-08;83,70;84,68;83,38;84,48;1.431.088;120.595.688
2018-08-07;83,83;84,79;83,82;84,05;1.439.706;121.403.464
2018-08-06;82,98;84,38;82,76;83,51;1.685.798;140.800.528
2018-08-03;81,55;83,02;81,34;82,34;1.932.126;159.208.672
2018-08-02;80,50;81,66;79,22;81,18;2.774.645;223.554.144
2018-08-01;83,74;83,74;80,88;81,50;2.560.371;209.046.304
2018-07-31;82,35;83,39;81,97;82,69;2.149.877;177.870.592
